query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__contrast_nbl_isolate_lan6_vs_rest_up	per_contrast	7	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_lan6_vs_rest__eligible_deseq2_background	17397	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_lan6_vs_rest_down	per_contrast	43	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_lan6_vs_rest__eligible_deseq2_background	17397	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_mhh_nb_11_vs_rest_all	per_contrast	15	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_mhh_nb_11_vs_rest__eligible_deseq2_background	17877	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_mhh_nb_11_vs_rest_up	per_contrast	4	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_mhh_nb_11_vs_rest__eligible_deseq2_background	17877	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_mhh_nb_11_vs_rest_down	per_contrast	11	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_mhh_nb_11_vs_rest__eligible_deseq2_background	17877	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_sh_sy5y_vs_rest_all	per_contrast	6	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sh_sy5y_vs_rest__eligible_deseq2_background	16942	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_sh_sy5y_vs_rest_up	per_contrast	1	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sh_sy5y_vs_rest__eligible_deseq2_background	16942	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__contrast_nbl_isolate_sh_sy5y_vs_rest_down	per_contrast	5	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sh_sy5y_vs_rest__eligible_deseq2_background	16942	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_sima_vs_rest_all	per_contrast	41	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sima_vs_rest__eligible_deseq2_background	18060	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_sima_vs_rest_up	per_contrast	11	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sima_vs_rest__eligible_deseq2_background	18060	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
