cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
CAL_148	breast cancer	TCGA-A8-A092-01A-11R-A00Z-07	breast cancer	0.435842036692638	41	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-AQ-A1H2-01A-11R-A13Q-07	breast cancer	0.435793822184194	42	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A2P5-01A-11R-A19W-07	breast cancer	0.434830929537291	43	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-GM-A5PV-01A-11R-A28M-07	breast cancer	0.433601808952456	44	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-E9-A1RD-01A-11R-A157-07	breast cancer	0.433401963308759	45	6	Component 6 - breast cancer dominant (n = 26, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-E2-A10B-01A-11R-A10J-07	breast cancer	0.432109255473657	46	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-BH-A18K-01A-11R-A12D-07	breast cancer	0.43148246686388	47	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-D8-A1XL-01A-11R-A14M-07	breast cancer	0.431293102635063	48	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-BH-A18P-01A-11R-A12D-07	breast cancer	0.428089982247977	49	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A1IL-01A-11R-A14D-07	breast cancer	0.427278720736326	50	6	Component 6 - breast cancer dominant (n = 26, purity = 1.00)	TRUE
CAL_51	breast cancer	TCGA-A2-A0D2-01A-21R-A034-07	breast cancer	0.372677536825578	1	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_51	breast cancer	TCGA-AN-A0XL-01A-11R-A10J-07	breast cancer	0.37143653730388	2	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_51	breast cancer	TCGA-AN-A0FS-01A-11R-A034-07	breast cancer	0.351122157745993	3	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
